number,value,datetime_start,datetime_complete,duration,params_color_p,params_disk_size,params_length_max,params_length_min,params_min_threshold,params_no_object_threshold,params_pp_circle,params_pp_square,params_radius_max,params_radius_min,state
45,0.9246688741721855,2026-04-20 15:07:57.465534,2026-04-20 15:11:50.865927,0 days 00:03:53.400393,0.6018743525544316,4,101.90327122436445,87.91278082100162,94.06134257329302,117.87016537332397,0.8559547590707359,0.6718830263972289,52.70765333427949,31.21497628798185,COMPLETE
46,0.9213576158940397,2026-04-20 15:08:07.552538,2026-04-20 15:11:57.872511,0 days 00:03:50.319973,0.6040451711528296,4,102.16173084014487,88.33234102781995,93.74307904298696,125.47419055633954,0.8532274958974488,0.6736544203345463,52.41401285382193,30.80296832155091,COMPLETE
47,0.9188741721854304,2026-04-20 15:08:09.975868,2026-04-20 15:11:55.402019,0 days 00:03:45.426151,0.6055757543641934,4,101.96739307478157,87.93624836826737,108.9308148676557,132.29614050432065,0.8559619924683518,0.6712638262616034,53.23968140596286,31.117998113313117,COMPLETE
48,0.9213576158940397,2026-04-20 15:08:17.376126,2026-04-20 15:11:57.021997,0 days 00:03:39.645871,0.6001314598310356,4,102.42872585119161,88.24944824399338,108.72476306606477,112.46887619981756,0.8551199220584786,0.625343744921212,52.62756925566622,31.191384425776747,COMPLETE
49,0.9172185430463576,2026-04-20 15:08:25.516380,2026-04-20 15:12:06.373478,0 days 00:03:40.857098,0.6092986702049521,4,101.85726267878005,88.11151166062614,110.18722589127277,165.62554165091268,0.8554873143099708,0.625994470644339,53.04609593553854,31.267005401962038,COMPLETE
50,0.9197019867549668,2026-04-20 15:08:26.321401,2026-04-20 15:12:07.492919,0 days 00:03:41.171518,0.6083119330332255,4,101.90885356899832,88.05554254087274,107.36969113134137,126.29447075260369,0.8523922787339872,0.6750884696316174,52.72521676943207,31.391070521417028,COMPLETE
51,0.9238410596026491,2026-04-20 15:08:28.086256,2026-04-20 15:12:08.188108,0 days 00:03:40.101852,0.600555434415002,4,101.78696271439546,88.2410878699115,109.71550165941277,138.62420355170374,0.8185102892482037,0.6280109681538876,52.747312595319436,31.38371797565,COMPLETE
52,0.9238410596026491,2026-04-20 15:08:34.423373,2026-04-20 15:12:04.410380,0 days 00:03:29.987007,0.6161171443832159,4,101.91407695931545,85.0334812018518,107.83149124453955,140.3961867962239,0.8164088375722663,0.6258353276556672,52.410885175804346,31.31844572846309,COMPLETE
53,0.9238410596026491,2026-04-20 15:09:12.835106,2026-04-20 15:12:23.607183,0 days 00:03:10.772077,0.6814237129492396,4,102.1007338983563,85.31809787079824,107.93792116080888,128.85628737668657,0.8124357402619642,0.6283836090441658,52.2069145261388,31.418285255300074,COMPLETE
54,0.9213576158940397,2026-04-20 15:09:13.448209,2026-04-20 15:12:27.499507,0 days 00:03:14.051298,0.6197463047935783,4,102.03111664268,89.10203746472554,109.14071724867387,163.49905994524286,0.8130340437843396,0.6765104099510457,52.43175251620009,31.338011858535815,COMPLETE
