number,value,datetime_start,datetime_complete,duration,params_color_p,params_disk_size,params_length_max,params_length_min,params_min_threshold,params_no_object_threshold,params_pp_circle,params_pp_square,params_radius_max,params_radius_min,state
68,0.8428362573099415,2026-04-17 14:45:37.843403,2026-04-17 14:48:10.256955,0 days 00:02:32.413552,0.6404794134621721,5,101.8154376312806,86.80019697672081,87.9352785629412,813.0463518652075,0.8204980860818578,0.6070244513190286,41.44580035335799,34.023694510004695,COMPLETE
69,0.9144736842105263,2026-04-17 14:45:41.227922,2026-04-17 14:48:14.865420,0 days 00:02:33.637498,0.6363626736877646,5,101.1073430101944,86.46657832384112,89.40239143419022,999.5559938716456,0.8198244104420883,0.6035010671118793,51.8862397958521,34.074307246819146,COMPLETE
70,0.9057017543859649,2026-04-17 14:45:42.488771,2026-04-17 14:48:27.458340,0 days 00:02:44.969569,0.5921865995187502,5,104.02189857541799,87.01561580213445,85.45299691524414,861.1171189673972,0.8190503533351128,0.596310883661256,52.41391599812632,34.39769544550977,COMPLETE
71,0.9166666666666666,2026-04-17 14:45:49.922486,2026-04-17 14:48:40.365596,0 days 00:02:50.443110,0.588656805744919,5,104.38170666125413,86.9364574198002,87.7161386097212,996.4419020617152,0.8213506760072136,0.6053551709809334,51.740298051582464,33.780215867805786,COMPLETE
72,0.902046783625731,2026-04-17 14:45:54.103469,2026-04-17 14:48:47.282219,0 days 00:02:53.178750,0.6378636336977558,5,104.19156447889497,87.05993741724727,86.91924285434841,310.55763336942096,0.8204440232988464,0.595381597675811,52.195830408404404,33.91625345153359,COMPLETE
73,0.9035087719298246,2026-04-17 14:45:58.438706,2026-04-17 14:48:52.484422,0 days 00:02:54.045716,0.6434265996742928,5,104.35271085068189,87.11855204241071,87.02275850994741,314.1427487670675,0.819388470505057,0.6057255284551847,53.51294376073096,33.9577811747369,COMPLETE
74,0.9027777777777778,2026-04-17 14:45:58.964946,2026-04-17 14:48:46.052450,0 days 00:02:47.087504,0.6422451144418233,5,104.07584454691377,87.0702600918882,87.7488166031087,357.4399093385066,0.8231565771720721,0.6032318174160735,51.94091416403767,33.90280819127589,COMPLETE
75,0.9027777777777778,2026-04-17 14:46:37.300071,2026-04-17 14:49:31.015266,0 days 00:02:53.715195,0.6434437291600589,5,104.07404145396588,87.28693354685701,87.73864824546965,303.8756096278669,0.837480130346427,0.6104173640717387,51.92788290604532,33.687619861468214,COMPLETE
76,0.9042397660818714,2026-04-17 14:46:38.695913,2026-04-17 14:49:06.205383,0 days 00:02:27.509470,0.6395894687757825,4,103.82391125494564,87.2355906645082,87.45544154849743,323.5607502907563,0.8203712200409502,0.6075260039660171,53.30599919342819,33.80542126318577,COMPLETE
77,0.9035087719298246,2026-04-17 14:46:49.280298,2026-04-17 14:49:54.199425,0 days 00:03:04.919127,0.6433929179559019,5,104.20267196690484,87.76702806400101,87.25710438913062,389.27737999187747,0.8242860057649831,0.6084849155548261,52.118412623854745,33.897996100580464,COMPLETE
78,0.9152046783625731,2026-04-17 14:46:52.540332,2026-04-17 14:49:56.739087,0 days 00:03:04.198755,0.6321955285569137,5,104.32155899385307,87.35549143523832,87.18045987095756,895.4340094846248,0.8391238434423255,0.6065789495644934,47.1245515748975,33.73084327030036,COMPLETE
79,0.902046783625731,2026-04-17 14:47:02.135820,2026-04-17 14:49:53.825373,0 days 00:02:51.689553,0.6400612194640117,5,103.7687747615354,87.15114568967101,83.30189351172359,899.9575901376298,0.8229885319364588,0.6095073724766564,51.80287921567803,33.4311732487853,COMPLETE
80,0.9013157894736842,2026-04-17 14:47:02.146193,2026-04-17 14:49:54.059453,0 days 00:02:51.913260,0.6438426336547912,5,103.61448313338799,87.22623921293706,83.47980696673326,775.0823959892642,0.8410460163623884,0.6062179368112741,52.011560138204985,33.123785901969306,COMPLETE
81,0.902046783625731,2026-04-17 14:47:05.391691,2026-04-17 14:50:43.609147,0 days 00:03:38.217456,0.6420697735083978,6,103.72522296933559,87.40985569269151,83.13675781484854,780.996687604738,0.8400799534402861,0.5627542122871039,52.06320603562659,33.535325303911605,COMPLETE
